scenario,parameter,value
보수적 (Pessimistic),mu_global_logit,3.5345064370382056
보수적 (Pessimistic),mu_global_logit,3.1115524176541243
보수적 (Pessimistic),mu_global_logit,3.407504011784228
보수적 (Pessimistic),mu_global_logit,3.6168610614307637
보수적 (Pessimistic),mu_global_logit,3.4074035722406055
보수적 (Pessimistic),mu_global_logit,3.2628434148319
보수적 (Pessimistic),mu_global_logit,3.522683999000251
보수적 (Pessimistic),mu_global_logit,3.5002917887951432
보수적 (Pessimistic),mu_global_logit,3.2709411969750346
보수적 (Pessimistic),mu_global_logit,3.2618895927082097
보수적 (Pessimistic),mu_global_logit,3.29833810401102
보수적 (Pessimistic),mu_global_logit,3.512768370488278
보수적 (Pessimistic),mu_global_logit,3.358010247819203
보수적 (Pessimistic),mu_global_logit,3.253674829656551
보수적 (Pessimistic),mu_global_logit,3.2508191522232153
보수적 (Pessimistic),mu_global_logit,3.440158548999179
보수적 (Pessimistic),mu_global_logit,3.3856460895753435
보수적 (Pessimistic),mu_global_logit,3.389576632805342
보수적 (Pessimistic),mu_global_logit,3.3990661655989833
보수적 (Pessimistic),mu_global_logit,3.3990661655989833
보수적 (Pessimistic),mu_global_logit,3.3990661655989833
보수적 (Pessimistic),mu_global_logit,3.314510535919823
보수적 (Pessimistic),mu_global_logit,3.5002161152220994
보수적 (Pessimistic),mu_global_logit,3.3354691022242884
보수적 (Pessimistic),mu_global_logit,3.2387393958901542
보수적 (Pessimistic),mu_global_logit,3.2638231933005524
보수적 (Pessimistic),mu_global_logit,3.181740080448987
보수적 (Pessimistic),mu_global_logit,3.4474755527783376
보수적 (Pessimistic),mu_global_logit,3.39218148409285
보수적 (Pessimistic),mu_global_logit,3.1178088901253838
보수적 (Pessimistic),mu_global_logit,3.312384607006183
보수적 (Pessimistic),mu_global_logit,3.1734233323684724
보수적 (Pessimistic),mu_global_logit,2.7929090672837242
보수적 (Pessimistic),mu_global_logit,3.4000927901730464
보수적 (Pessimistic),mu_global_logit,3.2510892745139928
보수적 (Pessimistic),mu_global_logit,3.2302857025333025
보수적 (Pessimistic),mu_global_logit,3.0602677328094363
보수적 (Pessimistic),mu_global_logit,3.137534704057962
보수적 (Pessimistic),mu_global_logit,3.1806273823984044
보수적 (Pessimistic),mu_global_logit,3.3266298213830763
보수적 (Pessimistic),mu_global_logit,2.9470834673905815
보수적 (Pessimistic),mu_global_logit,2.9409093934644464
보수적 (Pessimistic),mu_global_logit,3.285560005082271
보수적 (Pessimistic),mu_global_logit,3.1577722674682382
보수적 (Pessimistic),mu_global_logit,3.139420670296628
보수적 (Pessimistic),mu_global_logit,3.2249743114288436
보수적 (Pessimistic),mu_global_logit,3.2118201111469036
보수적 (Pessimistic),mu_global_logit,3.2311202444890785
보수적 (Pessimistic),mu_global_logit,3.1980022595316773
보수적 (Pessimistic),mu_global_logit,3.3285418515833447
보수적 (Pessimistic),mu_global_logit,3.2899051412638047
보수적 (Pessimistic),mu_global_logit,3.011510516170515
보수적 (Pessimistic),mu_global_logit,3.143334712721395
보수적 (Pessimistic),mu_global_logit,3.271660604362575
보수적 (Pessimistic),mu_global_logit,2.9165271498631395
보수적 (Pessimistic),mu_global_logit,3.0267473764769393
보수적 (Pessimistic),mu_global_logit,3.5155226122499093
보수적 (Pessimistic),mu_global_logit,3.1047309273199026
보수적 (Pessimistic),mu_global_logit,3.1857945336693425
보수적 (Pessimistic),mu_global_logit,3.274633589395379
보수적 (Pessimistic),mu_global_logit,2.9469482157391407
보수적 (Pessimistic),mu_global_logit,3.213405845057551
보수적 (Pessimistic),mu_global_logit,3.0006518437906124
보수적 (Pessimistic),mu_global_logit,3.0184861071752307
보수적 (Pessimistic),mu_global_logit,3.2563266925294903
보수적 (Pessimistic),mu_global_logit,2.9589477221783067
보수적 (Pessimistic),mu_global_logit,3.160649812289134
보수적 (Pessimistic),mu_global_logit,3.0000622297841257
보수적 (Pessimistic),mu_global_logit,2.8952056569802243
보수적 (Pessimistic),mu_global_logit,2.957402927632204
보수적 (Pessimistic),mu_global_logit,2.8540614793204506
보수적 (Pessimistic),mu_global_logit,3.165657917218034
보수적 (Pessimistic),mu_global_logit,3.0823558740989943
보수적 (Pessimistic),mu_global_logit,2.9836144592924017
보수적 (Pessimistic),mu_global_logit,2.846085689007921
보수적 (Pessimistic),mu_global_logit,3.1478255844272303
보수적 (Pessimistic),mu_global_logit,2.936762334262963
보수적 (Pessimistic),mu_global_logit,3.188745206273588
보수적 (Pessimistic),mu_global_logit,3.021657118766099
보수적 (Pessimistic),mu_global_logit,3.2163742976049545
보수적 (Pessimistic),mu_global_logit,2.778448396514944
보수적 (Pessimistic),mu_global_logit,3.3452520297328414
보수적 (Pessimistic),mu_global_logit,3.272631079247301
보수적 (Pessimistic),mu_global_logit,3.0500670575776425
보수적 (Pessimistic),mu_global_logit,3.452203445495077
보수적 (Pessimistic),mu_global_logit,3.369785146586744
보수적 (Pessimistic),mu_global_logit,2.957707024417269
보수적 (Pessimistic),mu_global_logit,2.9706575505018096
보수적 (Pessimistic),mu_global_logit,2.9768812153724764
보수적 (Pessimistic),mu_global_logit,3.1255716260725332
보수적 (Pessimistic),mu_global_logit,2.9092507019107305
보수적 (Pessimistic),mu_global_logit,3.145473933496298
보수적 (Pessimistic),mu_global_logit,3.14916903582802
보수적 (Pessimistic),mu_global_logit,3.04762888479833
보수적 (Pessimistic),mu_global_logit,3.032099790912965
보수적 (Pessimistic),mu_global_logit,3.1467555825442783
보수적 (Pessimistic),mu_global_logit,3.1710417307370142
보수적 (Pessimistic),mu_global_logit,3.063335426486218
보수적 (Pessimistic),mu_global_logit,3.481207873965747
보수적 (Pessimistic),mu_global_logit,3.2438053218195115
보수적 (Pessimistic),mu_global_logit,3.2299655592584258
보수적 (Pessimistic),mu_global_logit,2.807804003111055
보수적 (Pessimistic),mu_global_logit,3.126845818053763
보수적 (Pessimistic),mu_global_logit,3.027477768911311
보수적 (Pessimistic),mu_global_logit,3.0320280275483653
보수적 (Pessimistic),mu_global_logit,3.188431947074642
보수적 (Pessimistic),mu_global_logit,3.093420510047096
보수적 (Pessimistic),mu_global_logit,3.1304443814773997
보수적 (Pessimistic),mu_global_logit,3.0480794091674466
보수적 (Pessimistic),mu_global_logit,2.9603517501123107
보수적 (Pessimistic),mu_global_logit,3.078252696450232
보수적 (Pessimistic),mu_global_logit,2.9367579612185164
보수적 (Pessimistic),mu_global_logit,3.100229076381965
보수적 (Pessimistic),mu_global_logit,3.168454214937191
보수적 (Pessimistic),mu_global_logit,3.02385133599339
보수적 (Pessimistic),mu_global_logit,2.950324476229818
보수적 (Pessimistic),mu_global_logit,2.9901198895279752
보수적 (Pessimistic),mu_global_logit,3.0913901702266005
보수적 (Pessimistic),mu_global_logit,3.106792000402632
보수적 (Pessimistic),mu_global_logit,2.967585645998024
보수적 (Pessimistic),mu_global_logit,3.0972821685975394
보수적 (Pessimistic),mu_global_logit,2.9877371248828406
보수적 (Pessimistic),mu_global_logit,2.9545163659888916
보수적 (Pessimistic),mu_global_logit,2.9545163659888916
보수적 (Pessimistic),mu_global_logit,3.021215190491974
보수적 (Pessimistic),mu_global_logit,3.021215190491974
보수적 (Pessimistic),mu_global_logit,3.021215190491974
보수적 (Pessimistic),mu_global_logit,3.021215190491974
보수적 (Pessimistic),mu_global_logit,2.8829920550899875
보수적 (Pessimistic),mu_global_logit,2.8308816078986188
보수적 (Pessimistic),mu_global_logit,2.9489796050882973
보수적 (Pessimistic),mu_global_logit,2.9310991716020567
보수적 (Pessimistic),mu_global_logit,2.9310991716020567
보수적 (Pessimistic),mu_global_logit,2.871150409290986
보수적 (Pessimistic),mu_global_logit,3.0165031789778607
보수적 (Pessimistic),mu_global_logit,2.7614023270974406
보수적 (Pessimistic),mu_global_logit,3.097130020742488
보수적 (Pessimistic),mu_global_logit,2.94973671805888
보수적 (Pessimistic),mu_global_logit,2.7801347896954516
보수적 (Pessimistic),mu_global_logit,2.8739714513253842
보수적 (Pessimistic),mu_global_logit,2.836485692662506
보수적 (Pessimistic),mu_global_logit,2.921117846043802
보수적 (Pessimistic),mu_global_logit,2.8978800610239905
보수적 (Pessimistic),mu_global_logit,2.7976176149115526
보수적 (Pessimistic),mu_global_logit,2.695678108429296
보수적 (Pessimistic),mu_global_logit,3.2321246450816408
보수적 (Pessimistic),mu_global_logit,2.8200032571854408
보수적 (Pessimistic),mu_global_logit,2.7870149651711627
보수적 (Pessimistic),mu_global_logit,2.794595467644594
보수적 (Pessimistic),mu_global_logit,2.758226800269843
보수적 (Pessimistic),mu_global_logit,2.758226800269843
보수적 (Pessimistic),mu_global_logit,2.794759684430298
보수적 (Pessimistic),mu_global_logit,2.846779864971091
보수적 (Pessimistic),mu_global_logit,2.846779864971091
보수적 (Pessimistic),mu_global_logit,2.846779864971091
보수적 (Pessimistic),mu_global_logit,2.9513782499022803
보수적 (Pessimistic),mu_global_logit,3.042483777054871
보수적 (Pessimistic),mu_global_logit,2.915021067499245
보수적 (Pessimistic),mu_global_logit,3.1359330415554205
보수적 (Pessimistic),mu_global_logit,3.171118563183194
보수적 (Pessimistic),mu_global_logit,3.004857799547105
보수적 (Pessimistic),mu_global_logit,3.0326493184499603
보수적 (Pessimistic),mu_global_logit,3.0361759873605965
보수적 (Pessimistic),mu_global_logit,2.8815268806690466
보수적 (Pessimistic),mu_global_logit,3.096059446774948
보수적 (Pessimistic),mu_global_logit,3.1891160812830037
보수적 (Pessimistic),mu_global_logit,3.17687293279015
보수적 (Pessimistic),mu_global_logit,3.1577116257781435
보수적 (Pessimistic),mu_global_logit,3.060348710384044
보수적 (Pessimistic),mu_global_logit,3.133127053304943
보수적 (Pessimistic),mu_global_logit,2.946321711822675
보수적 (Pessimistic),mu_global_logit,3.0109912091492017
보수적 (Pessimistic),mu_global_logit,3.1314994527287516
보수적 (Pessimistic),mu_global_logit,3.1501573912631775
보수적 (Pessimistic),mu_global_logit,3.128785124457133
보수적 (Pessimistic),mu_global_logit,3.079345846083917
보수적 (Pessimistic),mu_global_logit,3.0862406116329173
보수적 (Pessimistic),mu_global_logit,3.110606745327671
보수적 (Pessimistic),mu_global_logit,3.144661613156072
보수적 (Pessimistic),mu_global_logit,3.144661613156072
보수적 (Pessimistic),mu_global_logit,3.144661613156072
보수적 (Pessimistic),mu_global_logit,3.144661613156072
보수적 (Pessimistic),mu_global_logit,3.1557944316577724
보수적 (Pessimistic),mu_global_logit,3.1873407102829083
보수적 (Pessimistic),mu_global_logit,3.1873407102829083
보수적 (Pessimistic),mu_global_logit,3.0889699680083442
보수적 (Pessimistic),mu_global_logit,3.0509427935102416
