scenario,parameter,value
낙관적 (Optimistic),mu_global_logit,3.9056845426885123
낙관적 (Optimistic),mu_global_logit,3.9082890107399892
낙관적 (Optimistic),mu_global_logit,3.909887236932105
낙관적 (Optimistic),mu_global_logit,3.9357344169379926
낙관적 (Optimistic),mu_global_logit,3.8559449744124947
낙관적 (Optimistic),mu_global_logit,3.864398776104399
낙관적 (Optimistic),mu_global_logit,3.856394407771458
낙관적 (Optimistic),mu_global_logit,3.8591112202851523
낙관적 (Optimistic),mu_global_logit,3.852606292914028
낙관적 (Optimistic),mu_global_logit,3.8469156247946734
낙관적 (Optimistic),mu_global_logit,3.8418408041507743
낙관적 (Optimistic),mu_global_logit,3.8447194770164033
낙관적 (Optimistic),mu_global_logit,3.8450178949869915
낙관적 (Optimistic),mu_global_logit,3.839542765179612
낙관적 (Optimistic),mu_global_logit,3.8355749444404394
낙관적 (Optimistic),mu_global_logit,3.8467712385898145
낙관적 (Optimistic),mu_global_logit,3.838849455868029
낙관적 (Optimistic),mu_global_logit,3.8407786213172543
낙관적 (Optimistic),mu_global_logit,3.844543025034678
낙관적 (Optimistic),mu_global_logit,3.8399548798261702
낙관적 (Optimistic),mu_global_logit,3.8429617206439035
낙관적 (Optimistic),mu_global_logit,3.8438726566052295
낙관적 (Optimistic),mu_global_logit,3.839820809317188
낙관적 (Optimistic),mu_global_logit,3.853989443140617
낙관적 (Optimistic),mu_global_logit,3.8578298727201563
낙관적 (Optimistic),mu_global_logit,3.7086978104914743
낙관적 (Optimistic),mu_global_logit,3.7086978104914743
낙관적 (Optimistic),mu_global_logit,3.7106421827041975
낙관적 (Optimistic),mu_global_logit,3.711159810602363
낙관적 (Optimistic),mu_global_logit,3.7149847819679755
낙관적 (Optimistic),mu_global_logit,3.7101833610090087
낙관적 (Optimistic),mu_global_logit,3.697867296806732
낙관적 (Optimistic),mu_global_logit,3.7016248746794336
낙관적 (Optimistic),mu_global_logit,3.7408261607497946
낙관적 (Optimistic),mu_global_logit,3.7160608005705225
낙관적 (Optimistic),mu_global_logit,3.7172226381386566
낙관적 (Optimistic),mu_global_logit,3.7290083092307635
낙관적 (Optimistic),mu_global_logit,3.715556760277605
낙관적 (Optimistic),mu_global_logit,3.702225159566734
낙관적 (Optimistic),mu_global_logit,3.7142577559795757
낙관적 (Optimistic),mu_global_logit,3.7083585679970907
낙관적 (Optimistic),mu_global_logit,3.701175693800594
낙관적 (Optimistic),mu_global_logit,3.7504544203799624
낙관적 (Optimistic),mu_global_logit,3.7671262348901164
