scenario,parameter,value
낙관적 (Optimistic),sigma_lot_base,0.04383580435827578
낙관적 (Optimistic),sigma_lot_base,0.04004883812180605
낙관적 (Optimistic),sigma_lot_base,0.030606297157990167
낙관적 (Optimistic),sigma_lot_base,0.03778292610032587
낙관적 (Optimistic),sigma_lot_base,0.027993236472126638
낙관적 (Optimistic),sigma_lot_base,0.03848571976249515
낙관적 (Optimistic),sigma_lot_base,0.03601091771481691
낙관적 (Optimistic),sigma_lot_base,0.029396280321425605
낙관적 (Optimistic),sigma_lot_base,0.012875472500601035
낙관적 (Optimistic),sigma_lot_base,0.013481280841920762
낙관적 (Optimistic),sigma_lot_base,0.011840707508421325
낙관적 (Optimistic),sigma_lot_base,0.010573812768566327
낙관적 (Optimistic),sigma_lot_base,0.018726966535532966
낙관적 (Optimistic),sigma_lot_base,0.018203367506724813
낙관적 (Optimistic),sigma_lot_base,0.02121948141699837
낙관적 (Optimistic),sigma_lot_base,0.017344419328759124
낙관적 (Optimistic),sigma_lot_base,0.03320014409224774
낙관적 (Optimistic),sigma_lot_base,0.01867320031552042
낙관적 (Optimistic),sigma_lot_base,0.021188695689080585
낙관적 (Optimistic),sigma_lot_base,0.022109935649135538
낙관적 (Optimistic),sigma_lot_base,0.0175475531729812
낙관적 (Optimistic),sigma_lot_base,0.024336726535286766
낙관적 (Optimistic),sigma_lot_base,0.02341150264460791
낙관적 (Optimistic),sigma_lot_base,0.02069059065224487
낙관적 (Optimistic),sigma_lot_base,0.015767782645238607
낙관적 (Optimistic),sigma_lot_base,0.019346813708022863
낙관적 (Optimistic),sigma_lot_base,0.019346813708022863
낙관적 (Optimistic),sigma_lot_base,0.019759328598073393
낙관적 (Optimistic),sigma_lot_base,0.02049931910684208
낙관적 (Optimistic),sigma_lot_base,0.021919206799262732
낙관적 (Optimistic),sigma_lot_base,0.020568402502368514
낙관적 (Optimistic),sigma_lot_base,0.022492473034853036
낙관적 (Optimistic),sigma_lot_base,0.03126175211154523
낙관적 (Optimistic),sigma_lot_base,0.03303781781941317
낙관적 (Optimistic),sigma_lot_base,0.036579817124442825
낙관적 (Optimistic),sigma_lot_base,0.0357403533045801
낙관적 (Optimistic),sigma_lot_base,0.0382431975202106
낙관적 (Optimistic),sigma_lot_base,0.03309886548133146
낙관적 (Optimistic),sigma_lot_base,0.02704064461122362
낙관적 (Optimistic),sigma_lot_base,0.03381263626350801
낙관적 (Optimistic),sigma_lot_base,0.021844869724349226
낙관적 (Optimistic),sigma_lot_base,0.018896044775384657
낙관적 (Optimistic),sigma_lot_base,0.021560611031499102
낙관적 (Optimistic),sigma_lot_base,0.024171599370733883
낙관적 (Optimistic),sigma_lot_base,0.015918956448748342
낙관적 (Optimistic),sigma_lot_base,0.022351254429181636
낙관적 (Optimistic),sigma_lot_base,0.018717682618198006
낙관적 (Optimistic),sigma_lot_base,0.022426776131996503
낙관적 (Optimistic),sigma_lot_base,0.026835042603811966
낙관적 (Optimistic),sigma_lot_base,0.0245428643667924
낙관적 (Optimistic),sigma_lot_base,0.01613123837664869
낙관적 (Optimistic),sigma_lot_base,0.014701660498133373
낙관적 (Optimistic),sigma_lot_base,0.010800889773044702
낙관적 (Optimistic),sigma_lot_base,0.012823369166421038
낙관적 (Optimistic),sigma_lot_base,0.012491236067480678
낙관적 (Optimistic),sigma_lot_base,0.013181487732846194
낙관적 (Optimistic),sigma_lot_base,0.015710784555375383
낙관적 (Optimistic),sigma_lot_base,0.012137446356400787
낙관적 (Optimistic),sigma_lot_base,0.010872942942970905
낙관적 (Optimistic),sigma_lot_base,0.012454211312730334
낙관적 (Optimistic),sigma_lot_base,0.011078242294112377
낙관적 (Optimistic),sigma_lot_base,0.010498198219823089
낙관적 (Optimistic),sigma_lot_base,0.011336523977688315
낙관적 (Optimistic),sigma_lot_base,0.016203234407139683
낙관적 (Optimistic),sigma_lot_base,0.015246058435211254
낙관적 (Optimistic),sigma_lot_base,0.01235514756484017
낙관적 (Optimistic),sigma_lot_base,0.023886517496900777
낙관적 (Optimistic),sigma_lot_base,0.020994135612181726
낙관적 (Optimistic),sigma_lot_base,0.0206581763688891
낙관적 (Optimistic),sigma_lot_base,0.012979299179521847
낙관적 (Optimistic),sigma_lot_base,0.014009171654401683
낙관적 (Optimistic),sigma_lot_base,0.012927063091552927
낙관적 (Optimistic),sigma_lot_base,0.011124391456026495
낙관적 (Optimistic),sigma_lot_base,0.009824369581354036
낙관적 (Optimistic),sigma_lot_base,0.010557531705246823
낙관적 (Optimistic),sigma_lot_base,0.011108663417460746
낙관적 (Optimistic),sigma_lot_base,0.014084254346568563
낙관적 (Optimistic),sigma_lot_base,0.009952225080476074
낙관적 (Optimistic),sigma_lot_base,0.01061960343697728
낙관적 (Optimistic),sigma_lot_base,0.011724127105898992
낙관적 (Optimistic),sigma_lot_base,0.011596585850069435
