Code,일련번호,품번,시험일자,운용월,Dataset,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
,,,,,,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
B,SN_A_8469,P12345,2023-06-01,102,ASRP,100.0913,98.4824,101.5464,105.0564,98.992,97.888,99.8788,101.2452,100.2249,100.6376,97.7537,100.1171,99.765,102.4412,101.1466,103.1207,100.3542,101.1386,95.6039,100.9456,99.9819,95.6227,100.7083,98.0046,96.8278,100.1702,98.634
B,SN_A_5002,P12345,2023-06-01,102,ASRP,99.3344,98.7884,99.7085,96.8669,98.0885,101.8133,99.7648,101.5022,100.0908,100.5311,96.911,101.6861,101.4671,99.0041,104.3762,100.9369,101.7402,101.1246,99.5926,100.9755,99.7352,98.4897,94.4681,95.5978,98.5612,100.4302,100.8019
B,SN_A_1245,P12345,2023-06-01,102,ASRP,99.709,103.6946,99.4677,100.9431,98.0067,102.4191,96.3262,102.105,101.2906,102.7135,104.4099,100.9399,98.7441,102.7969,102.2272,101.3032,101.2476,99.9737,103.0547,102.1072,96.1168,99.6708,91.9469,101.1978,100.407,95.0958,99.7564
B,SN_A_4328,P12345,2023-06-01,102,ASRP,100.9015,98.2558,104.254,100.1773,100.2452,98.0804,96.3187,101.367,101.0826,102.239,99.1346,98.2123,97.7136,96.065,101.133,100.7764,99.4529,100.0718,99.0755,100.7111,101.842,99.2566,89.7327,93.3317,101.4875,99.2885,101.7896
B,SN_A_7059,P12345,2023-06-01,102,ASRP,97.7117,97.7466,97.8211,98.7154,99.2725,100.7707,102.4719,101.3797,99.3203,96.7261,96.4672,101.0951,102.4412,98.6196,100.6279,99.949,98.829,103.6204,98.5171,97.4566,97.7673,97.6586,96.2297,85.0794,97.317,97.5133,103.2091
B,SN_A_9042,P12345,2023-06-01,102,ASRP,100.1846,97.967,99.4778,97.1945,100.1802,100.9318,98.588,102.7555,101.1106,100.9486,97.8485,98.9446,99.8305,97.4641,98.5589,103.2527,100.6309,100.8307,98.1471,101.1242,99.4037,99.6108,96.108,94.2467,91.6638,99.5621,95.6651
B,SN_A_4947,P12345,2023-06-01,102,ASRP,98.5074,103.0375,98.7691,99.0918,97.3671,99.4975,101.1878,98.9142,101.0589,96.697,99.3355,98.3698,99.2973,97.7205,101.9719,100.5195,103.0869,100.9882,99.0962,103.0689,98.3694,98.402,94.1845,97.6619,96.723,99.9277,99.1688
B,SN_A_2868,P12345,2023-06-01,102,ASRP,100.1404,96.6066,101.4297,98.6683,99.5311,104.2089,101.7857,97.1692,100.9647,102.5576,99.0388,95.2239,96.8076,101.7942,102.799,97.1928,101.013,102.4262,98.403,101.8356,99.4912,100.9733,95.0632,95.6882,95.1477,96.2036,97.7948
