lot,mean,hdi_5%,hdi_95%,source
2015-LOT-01,0.9706487499999998,0.9400000000000001,1.0,보수적 (Pessimistic)
2015-LOT-02,0.9561174999999991,0.92,0.995,보수적 (Pessimistic)
2015-LOT-03,0.9666387499999957,0.935,0.9975,보수적 (Pessimistic)
2015-LOT-04,0.945667499999996,0.8775000000000001,0.995,보수적 (Pessimistic)
2015-LOT-05,0.9541112499999974,0.9,0.995,보수적 (Pessimistic)
2015-LOT-06,0.9650112499999954,0.93,0.9975,보수적 (Pessimistic)
2016-LOT-01,0.9629024999999941,0.915,1.0,보수적 (Pessimistic)
2016-LOT-02,0.9711762499999935,0.9450000000000001,1.0,보수적 (Pessimistic)
2016-LOT-03,0.9578762499999972,0.91,1.0,보수적 (Pessimistic)
2016-LOT-04,0.9703562499999963,0.9450000000000001,0.9975,보수적 (Pessimistic)
2016-LOT-05,0.9604174999999947,0.8875000000000001,0.9975,보수적 (Pessimistic)
2016-LOT-06,0.9712312499999955,0.9450000000000001,1.0,보수적 (Pessimistic)
2017-LOT-01,0.9664174999999947,0.9400000000000001,0.995,보수적 (Pessimistic)
2017-LOT-02,0.9660824999999927,0.935,0.9975,보수적 (Pessimistic)
2017-LOT-03,0.9713537499999966,0.9475,0.995,보수적 (Pessimistic)
2017-LOT-04,0.9607424999999938,0.915,1.0,보수적 (Pessimistic)
2017-LOT-05,0.9658512499999958,0.9325,0.9975,보수적 (Pessimistic)
2017-LOT-06,0.9640549999999986,0.93,0.9975,보수적 (Pessimistic)
2018-LOT-01,0.9668687499999933,0.935,1.0,보수적 (Pessimistic)
2018-LOT-02,0.9694687499999936,0.9375,0.9975,보수적 (Pessimistic)
2018-LOT-03,0.9632812499999929,0.9175,0.9975,보수적 (Pessimistic)
2018-LOT-04,0.9624049999999937,0.925,1.0,보수적 (Pessimistic)
2018-LOT-05,0.9679574999999967,0.9425,1.0,보수적 (Pessimistic)
2018-LOT-06,0.9666512499999966,0.935,1.0,보수적 (Pessimistic)
2019-LOT-01,0.9696687499999972,0.9450000000000001,0.995,보수적 (Pessimistic)
2019-LOT-02,0.9666124999999963,0.935,0.995,보수적 (Pessimistic)
2019-LOT-03,0.9701624999999964,0.9450000000000001,0.995,보수적 (Pessimistic)
2019-LOT-04,0.971267499999993,0.9450000000000001,0.995,보수적 (Pessimistic)
2019-LOT-05,0.9679124999999998,0.9375,0.9925,보수적 (Pessimistic)
2019-LOT-06,0.9699437499999942,0.9400000000000001,0.995,보수적 (Pessimistic)
