Code,,LOT 번호,일련번호,품번,시험일자,운용월,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,불합격 항목,합격여부
시험항목,시험항목1,,,,,,스퀴브 점검,,배선 점검,,,,,,기본성능 점검,,,,,,,,,,,,,,최대 추적률 점검,,고착 문턱값 점검,,냉각유지시간,,
,시험항목2,,,,,,열전지스퀴브 저항,사출모터스퀴브 저항,22P-PGND,PGND-22P,22N-PGND,PGND-22N,22P-22N,22N-22P,유도제어장치 점검,,아날로그 신호 점검,,,,,,,,,,강제세차 점검,,SLAP,SLAY,SLAP,SLAY,,,
,시험항목3,,,,,,,,,,,,,,자전기동시간,자전안정화주파수,아날로그 신호 점검,,,,,,,전원 점검,,,SLAP,SLAY,,,,,,,
,시험항목4,,,,,,,,,,,,,,,,ASLAP,ASLAY,ALOSRP,ALOSRY,AVIFSC,AFROLL,AMRSIN,+5V,+15V,-15V,,,,,,,,,
,,넥스원06아056-003,SG 06 A081 00,81040050,2017-05-17,129,2.85,2.1,1880,580,540,2400,5500,560,2.85,101.19,1.8,2.46,2.55,2.44,0,0,2.5,5.01,15.09,-14.81,9.84,-0.14,21.27,0.41,9.85,-0.08,24,스퀴브,불합격
,,넥스원06아056-003,SG 06 A082 00,81040050,2017-07-05,129,2.34,2.11,1800,590,550,2400,5500,590,2.61,101.1,1.83,2.45,2.57,2.39,0,0,2.49,5,15.07,-14.81,9.83,0.09,20.81,0.81,9.78,0.15,24,,합격
,,넥스원06카056-006,SG 06 A083 00,81040050,2017-05-18,126,2.52,2.1,1800,580,550,2400,5500,570,2.73,101.27,1.8,2.41,2.53,2.44,0,0,2.5,5,15.09,-14.78,9.97,-0.11,21.24,0.36,9.99,-0.06,24,,합격
,,넥스원06카056-006,SG 06 A084 00,81040050,2017-05-18,126,2.38,2.07,1900,570,545,2400,5500,570,2.62,99.65,1.83,2.41,2.54,2.44,0,0.01,2.5,5.01,15.03,-15.27,9.74,-0.26,20.77,0.28,9.73,-0.22,22.82,,합격
,,넥스원06카056-006,SG 06 A085 00,81040050,2017-05-18,126,2.29,2.09,1800,590,550,2400,5500,590,2.85,100.72,1.78,2.45,2.58,2.44,0,0,2.5,5.01,15.05,-14.94,10.2,0.1,21.43,0.9,10.18,0.16,24,,합격
,,넥스원06카056-006,SG 06 A161 00,81040050,2017-05-18,126,2.2,2.09,1400,590,550,2300,5400,570,2.61,100.01,1.79,2.49,2.56,2.41,0,0,2.49,5.02,15,-15.16,10.01,0.17,21.14,0.85,9.97,0.19,24,,합격
,,넥스원06카056-006,SG 06 A162 00,81040050,2017-05-18,126,2.17,2.05,1800,590,550,2400,5500,580,2.61,99.91,1.79,2.44,2.54,2.42,0,0,2.49,5.01,15.05,-15.18,9.67,0.12,20.81,0.91,9.64,0.13,24,,합격
,,넥스원06카056-006,SG 06 A163 00,81040050,2017-05-19,126,2.16,2.09,1800,600,550,2400,5600,580,2.6,100.87,1.8,2.45,2.53,2.42,0,0,2.49,5,14.98,-14.83,9.72,0.22,20.79,1.02,9.7,0.26,24,,합격
,,넥스원06카056-006,SG 06 A164 00,81040050,2017-05-19,126,2.17,2.09,1800,590,550,2400,5500,580,2.74,99.74,1.78,2.46,2.53,2.4,0,0,2.49,5.02,15.09,-15.27,9.9,0.18,21.17,0.84,9.89,0.24,24,,합격
,,넥스원06카056-006,SG 06 A175 00,81040050,2017-05-19,126,9.9,2.13,1800,590,550,2400,5500,560,2.61,101.15,1.83,2.46,2.54,2.43,0,0,2.49,5,15,-14.87,9.62,0.15,20.71,0.74,9.61,0.18,24,스퀴브,불합격
,,넥스원06카056-006,SG 06 A177 00,81040050,2017-05-22,126,9.99,2.1,1800,590,540,2400,5200,580,2.62,101.04,1.8,2.48,2.55,2.42,0,0,2.49,5.01,14.98,-14.85,9.75,0.2,20.77,0.8,9.75,0.25,23.94,스퀴브,불합격
,,넥스원06카056-006,SG 06 A183 00,81040050,2017-05-22,126,2.2,2.1,1800,580,550,2400,5500,570,2.6,99.68,1.8,2.48,2.51,2.42,0,0,2.49,5,15.09,-15.25,9.76,0.19,20.71,0.94,9.75,0.22,24,,합격
,,넥스원06카056-006,SG 06 A184 00,81040050,2017-05-22,126,2.31,2.07,1800,590,550,2400,5500,580,2.6,101.08,1.81,2.46,2.54,2.42,0,0,2.49,5,15.03,-14.83,9.73,0.17,20.78,0.84,9.71,0.2,24,,합격
,,넥스원06카056-006,SG 06 A187 00,81040050,2017-05-22,126,2.57,2.11,1800,590,550,2400,5500,570,2.6,101.14,1.79,2.44,2.53,2.44,0,0,2.49,5,15.03,-14.89,9.83,0.15,20.87,0.84,9.84,0.19,24,,합격
