Code,Unnamed: 1,일련번호,품번,시험일자,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,합격여부
시험항목,시험항목1,,,,스퀴브 점검,,배선 점검,,,,,,기본성능 점검,,,,,,,,,,,,,,최대 추적률 점검,,고착 문턱값 점검,,냉각유지시간,
,시험항목2,,,,열전지스퀴브 저항,사출모터스퀴브 저항,22P-PGND,PGND-22P,22N-PGND,PGND-22N,22P-22N,22N-22P,유도제어장치 점검,,아날로그 신호 점검,,,,,,,,,,강제세차 점검,,SLAP,SLAY,SLAP,SLAY,,
,시험항목3,,,,,,,,,,,,자전기동시간,자전안정화주파수,아날로그 신호 점검,,,,,,,전원 점검,,,SLAP,SLAY,,,,,,
,시험항목4,,,,,,,,,,,,,,ASLAP,ASLAY,ALOSRP,ALOSRY,AVIFSC,AFROLL,AMRSIN,+5V,+15V,-15V,,,,,,,,
,,,,LCL,1.8,1.8,1000,470,480,400,1000,490,2,95,1.3,2,2,2,-0.25,-0.25,2.25,4.75,14.5,-15.5,8,-2,16,-4,8,-2,15,합격
,,,,UCL,2.6,2.6,2400,660,600,4000,9000,630,5,105,2.3,3,3,3,0.25,0.25,2.75,5.25,15.5,-14.5,12,2,24,4,12,2,,합격
,,SG 16 D051 00,81040050,2016.5.26,2.22,2.05,1800,580,550,2400,5400,570,2.74,99.61,1.8,2.44,2.54,2.4,0,0.01,2.49,4.99,14.98,-15.25,9.43,0.19,20.31,0.82,9.38,0.25,24,합격
,,SG 16 D052 00,81040050,2016.5.26,2.23,2.05,1800,580,550,2400,5500,570,2.72,100.81,1.8,2.51,2.55,2.45,0,0,2.5,4.99,14.94,-14.78,9.84,0.17,20.84,0.83,9.8,0.2,24,합격
,,SG 16 D071K 00,81040050,2016.3.30,2.12,2.05,2300,600,560,3000,6000,570,2.24,99.88,1.78,2.54,2.5,2.5,0,0,2.5,4.96,15.05,-14.98,9.98,0.22,22.12,0.95,10.02,0.29,24,합격
,,SG 16 D072K 00,81040050,2016.3.30,2.17,2.02,2400,600,590,3000,6000,570,2.24,100.06,1.79,2.6,2.5,2.5,0.01,0,2.5,4.95,14.92,-15.01,10.21,0.2,22.46,1.05,10.24,0.26,24,합격
,,SG 16 D073K 00,81040050,2016.3.30,2.16,2.03,2400,600,580,3000,6000,580,2.24,100.05,1.81,2.58,2.49,2.48,0.01,0,2.49,4.96,15,-15.34,9.86,0.2,22.05,1.01,9.88,0.26,24,합격
,,SG 16 D074K 00,81040050,2016.3.30,2.21,2.05,2300,600,560,3000,6000,590,2.24,100.04,1.81,2.53,2.47,2.51,0,0,2.5,4.96,14.98,-14.94,9.73,0.18,21.77,0.67,9.74,0.25,24,합격
,,SG 16 D075K 00,81040050,2016.3.30,2.13,2.03,2300,600,560,3000,6000,590,2.25,100.09,1.8,2.58,2.5,2.5,0.01,0,2.5,4.94,15.01,-14.98,9.9,0.24,22.04,0.92,9.94,0.3,24,합격
,,SG 16 D076K 00,81040050,2016.3.30,2.16,2.05,2300,600,570,3000,6000,590,2.23,100.06,1.8,2.49,2.49,2.5,0,0,2.49,4.95,15.01,-15.05,9.94,0.23,22.13,0.99,9.96,0.3,24,합격
,,SG 16 D053 00,81040050,2016.6.27,2.17,2.06,1800,570,550,2400,5500,560,2.73,100.37,1.81,2.49,2.55,2.38,0,0,2.49,5,15,-14.96,9.68,0.2,20.76,0.87,9.62,0.25,24,합격
,,SG 16 D054 00,81040050,2016.6.27,2.14,2.06,1800,570,550,2400,5300,560,2.75,100.84,1.79,2.47,2.51,2.42,0,0,2.49,5.01,15.03,-14.89,9.74,0.26,20.72,1,9.72,0.3,24,합격
,,SG 16 D055 00,81040050,2016.6.27,2.16,2.05,1800,560,540,2400,5300,560,2.61,100.88,1.79,2.49,2.56,2.4,0,0,2.49,4.99,15.03,-14.85,9.72,0.24,20.76,0.81,9.71,0.3,24,합격
,,SG 16 D056 00,81040050,2016.6.27,2.18,2.06,1800,560,550,2300,5200,560,2.84,100.73,1.79,2.42,2.54,2.4,0,0,2.49,5,14.98,-14.87,10.08,0.22,21.11,1.28,10.06,0.26,24,합격
,,SG 16 D057 00,81040050,2016.6.28,2.15,2.07,1900,580,550,2400,5500,575,2.72,99.28,1.82,2.46,2.57,2.39,0,0,2.49,4.99,14.98,-15.27,9.57,0.38,20.34,0.64,9.49,0.42,23.32,합격
,,SG 16 D058 00,81040050,2016.6.28,2.18,2.05,1870,580,550,2400,5500,570,2.6,100.54,1.78,2.45,2.55,2.4,0,0,2.49,5,15.01,-14.92,9.86,0.18,20.93,0.67,9.82,0.26,24,합격
