,ÀÏ·Ã¹øÈ£,Ç°¹ø,½ÃÇèÀÏÀÚ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ºÒÇÕ°Ý Ç×¸ñ,ÆÇÁ¤,LOT ¹øÈ£,ÇÕ°Ý¿©ºÎ,»ý»ê³â¿ù,½ÃÇè³â¿ù,¿î¿ë¿ù
0,SG 08 A653 00,81040050,2022-10-06,1.900 ,2.019 ,1800.000 ,600.000 ,500.000 ,2400.000 ,5500.000 ,550.000 ,3.042 ,99.595 ,1.821 ,2.476 ,2.559 ,2.412 ,0.000 ,0.000 ,2.485 ,4.993 ,14.960 ,-15.198 ,9.620 ,0.034 ,19.997 ,0.383 ,9.508 ,0.114 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2210,169.0
1,SG 08 A789 00,81040050,2022-10-13,2.106 ,2.045 ,1800.000 ,550.000 ,500.000 ,2300.000 ,5500.000 ,530.000 ,3.735 ,99.116 ,1.807 ,2.437 ,2.529 ,2.476 ,0.000 ,0.000 ,2.490 ,4.993 ,15.015 ,-14.832 ,9.976 ,-0.082 ,3.562 ,0.062 ,9.878 ,-0.046 ,21.0,ÃÖ´ëÃßÀû·ü,ºÒÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ºÒÇÕ°Ý,0812,2210,166.0
2,SG 08 A811 00,81040050,2022-10-06,2.000 ,2.052 ,1800.000 ,550.000 ,500.000 ,2400.000 ,5500.000 ,550.000 ,3.532 ,99.227 ,1.812 ,2.432 ,2.524 ,2.451 ,0.000 ,0.000 ,2.485 ,4.993 ,14.941 ,-14.886 ,9.649 ,-0.068 ,3.384 ,0.012 ,-14.957 ,-1.161 ,20.0,"ÃÖ´ëÃßÀû·ü, °íÂø¹®ÅÎ°ª",ºÒÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ºÒÇÕ°Ý,0812,2210,166.0
3,SG 08 A786 00,81040050,2022-10-13,2.140 ,2.021 ,1550.000 ,550.000 ,500.000 ,2400.000 ,5500.000 ,530.000 ,3.059 ,99.523 ,1.816 ,2.500 ,2.510 ,2.456 ,0.000 ,0.034 ,2.490 ,4.987 ,15.015 ,-14.905 ,9.629 ,0.048 ,20.049 ,0.296 ,9.624 ,0.092 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2210,166.0
4,SG 08 A791 00,81040050,2022-10-13,2.190 ,2.046 ,1550.000 ,550.000 ,500.000 ,2400.000 ,5500.000 ,520.000 ,3.051 ,100.555 ,1.768 ,2.476 ,2.520 ,2.402 ,0.000 ,0.000 ,2.490 ,4.987 ,14.960 ,-14.886 ,10.096 ,0.077 ,20.677 ,0.644 ,10.076 ,0.170 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2210,166.0
5,SG 08 A796 00,81040050,2022-10-12,2.000 ,2.009 ,1800.000 ,550.000 ,500.000 ,2400.000 ,5500.000 ,520.000 ,3.061 ,99.672 ,1.807 ,2.456 ,2.568 ,2.451 ,0.000 ,0.000 ,2.490 ,4.980 ,15.033 ,-14.868 ,9.593 ,-0.011 ,20.103 ,0.339 ,9.564 ,0.088 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2210,166.0
6,SG 08 A810 00,81040050,2022-10-07,2.000 ,2.030 ,1800.000 ,550.000 ,500.000 ,2400.000 ,5500.000 ,530.000 ,2.982 ,99.874 ,1.807 ,2.422 ,2.554 ,2.432 ,0.000 ,0.000 ,2.490 ,4.999 ,15.015 ,-14.850 ,9.923 ,0.000 ,20.465 ,0.361 ,9.873 ,0.134 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2210,166.0
7,SG 08 A637 00,81040050,2022-10-07,2.000 ,2.028 ,1700.000 ,550.000 ,500.000 ,2400.000 ,5000.000 ,550.000 ,3.059 ,100.877 ,1.816 ,2.427 ,2.539 ,2.437 ,0.000 ,0.000 ,2.490 ,4.987 ,15.015 ,-14.832 ,9.921 ,-0.004 ,20.389 ,0.395 ,9.852 ,0.083 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08¾Æ056-019°¡,ÇÕ°Ý,0808,2210,170.0
8,SG 08 A646 00,81040050,2022-10-11,2.100 ,2.016 ,1800.000 ,550.000 ,500.000 ,2400.000 ,5500.000 ,550.000 ,3.030 ,100.718 ,1.816 ,2.534 ,2.544 ,2.476 ,0.000 ,0.000 ,2.490 ,4.993 ,15.015 ,-14.868 ,9.837 ,-0.001 ,20.458 ,0.399 ,9.812 ,0.071 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08¾Æ056-019°¡,ÇÕ°Ý,0808,2210,170.0
9,SG 08 A647 00,81040050,2022-10-11,2.443 ,2.117 ,1800.000 ,550.000 ,520.000 ,2300.000 ,5500.000 ,550.000 ,3.002 ,100.894 ,1.792 ,2.490 ,2.554 ,2.461 ,0.000 ,0.000 ,2.485 ,4.993 ,15.015 ,-14.850 ,9.882 ,-0.023 ,20.431 ,0.293 ,9.862 ,0.043 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08¾Æ056-019°¡,ÇÕ°Ý,0808,2210,170.0
10,SG 08 A648 00,81040050,2022-10-11,2.173 ,2.023 ,1800.000 ,550.000 ,510.000 ,2400.000 ,5500.000 ,550.000 ,3.000 ,100.561 ,1.816 ,2.471 ,2.539 ,2.441 ,0.000 ,0.000 ,2.485 ,4.993 ,14.960 ,-14.850 ,9.824 ,0.012 ,20.483 ,0.542 ,9.824 ,0.132 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08¾Æ056-019°¡,ÇÕ°Ý,0808,2210,170.0
11,SG 08 A673 00,81040050,2022-10-12,2.098 ,2.013 ,1600.000 ,550.000 ,500.000 ,2300.000 ,5400.000 ,550.000 ,3.059 ,100.487 ,1.768 ,2.437 ,2.480 ,2.471 ,0.000 ,0.000 ,2.490 ,4.999 ,14.941 ,-14.850 ,9.841 ,0.051 ,20.546 ,0.489 ,9.828 ,0.121 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2210,169.0
12,SG 08 A674 00,81040050,2022-10-05,2.132 ,2.025 ,1700.000 ,550.000 ,500.000 ,2400.000 ,5500.000 ,550.000 ,3.042 ,100.719 ,1.792 ,2.490 ,2.500 ,2.441 ,0.000 ,0.000 ,2.495 ,4.999 ,14.996 ,-14.941 ,9.745 ,-0.032 ,20.333 ,0.526 ,9.629 ,0.085 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2210,169.0
13,SG 08 A675 00,81040050,2022-10-12,2.193 ,1.998 ,1600.000 ,550.000 ,500.000 ,2300.000 ,5300.000 ,550.000 ,3.060 ,101.036 ,1.777 ,2.461 ,2.529 ,2.441 ,0.000 ,0.010 ,2.490 ,4.980 ,14.941 ,-14.758 ,9.756 ,0.017 ,20.223 ,0.582 ,9.753 ,0.136 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2210,169.0
14,SG 08 A785 00,81040050,2022-10-13,2.154 ,2.007 ,1600.000 ,550.000 ,500.000 ,2400.000 ,5500.000 ,530.000 ,3.061 ,99.894 ,1.831 ,2.437 ,2.534 ,2.466 ,0.000 ,0.000 ,2.485 ,4.993 ,15.033 ,-15.125 ,9.564 ,0.013 ,19.734 ,0.353 ,9.517 ,0.094 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2210,166.0
15,SG 08 A649 00,81040050,2022-10-12,2.123 ,2.141 ,1600.000 ,550.000 ,520.000 ,2300.000 ,5300.000 ,550.000 ,3.069 ,100.804 ,1.821 ,2.461 ,2.495 ,2.461 ,0.000 ,0.000 ,2.490 ,4.993 ,14.996 ,-14.777 ,9.680 ,0.022 ,20.089 ,0.386 ,9.569 ,0.116 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08¾Æ056-019°¡,ÇÕ°Ý,0808,2210,170.0
