Code,일련번호,품번,시험일자,운용월,Dataset,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
,,,,,,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
C,SN_O_3315,P12345,2023-09-01,118,Overhaul,102.0071,98.748,99.8573,100.0728,97.748,96.2871,99.9219,101.0335,99.2634,96.8433,99.8861,99.8689,100.6961,103.8926,102.6413,96.4646,98.2334,97.2176,97.7819,100.4635,100.6318,99.0811,94.3908,94.244,96.0243,93.8607,101.8522
C,SN_O_7191,P12345,2023-09-01,124,Overhaul,101.6899,99.0554,103.1914,99.6854,100.9679,103.0726,101.1822,105.29,98.4054,97.8162,100.1015,103.0881,100.1509,99.0432,103.2049,99.0658,97.8292,100.1831,101.9096,101.4421,98.7456,98.7878,92.1938,94.0417,93.1912,98.2896,98.4389
C,SN_O_8611,P12345,2023-09-01,127,Overhaul,99.7305,98.1826,99.4774,102.1764,99.4182,103.4111,101.9089,101.4188,101.7064,100.559,100.8013,99.5795,99.9703,102.9642,99.9151,101.5154,100.0157,103.0728,104.8008,103.1149,101.6352,99.3299,96.9491,94.8555,93.1157,88.3312,98.7071
C,SN_O_3875,P12345,2023-09-01,124,Overhaul,97.3245,99.3699,100.6877,99.1647,98.035,98.2164,100.2348,100.9599,101.4106,99.3165,100.9145,100.4628,98.9116,100.2906,100.1676,104.798,103.2931,98.4556,99.7225,99.9716,101.1243,101.8936,96.1124,96.0481,96.4294,97.5126,91.864
C,SN_O_1196,P12345,2023-09-01,123,Overhaul,98.3571,101.4224,103.0975,102.5028,102.1725,97.7228,98.1644,99.6075,102.4082,100.7427,101.5157,100.512,100.792,99.9611,103.5856,98.4122,95.7765,98.1309,99.8425,100.1252,98.5049,99.569,90.4892,95.1663,93.0395,97.7253,101.6603
C,SN_O_9915,P12345,2023-09-01,115,Overhaul,101.5895,103.8343,96.0786,100.4535,100.3293,101.2906,101.6822,103.0363,99.6318,97.5111,102.3864,102.7033,99.864,101.8836,101.66,101.9308,99.0752,98.7693,100.6892,104.5938,102.7292,97.804,94.1058,97.6493,96.0123,99.8609,99.555
C,SN_O_3424,P12345,2023-09-01,112,Overhaul,98.5599,99.8147,99.7104,100.7344,100.6041,99.5689,99.7715,102.3325,100.2934,99.2554,101.535,98.3988,101.0474,100.9336,102.1174,96.2769,96.9121,101.7521,102.6733,97.7318,99.8567,102.886,93.4798,98.8642,95.6361,99.8028,97.2404
