lot,mean,hdi_5%,hdi_95%,source
2015-LOT-01,0.9775077574467357,0.957805435177511,0.9965739301731384,이항분포 모델
2015-LOT-02,0.97780567199624,0.9586136058854854,0.9982040469000706,이항분포 모델
2015-LOT-03,0.9767554686103036,0.9571719568592171,0.9981295258070161,이항분포 모델
2015-LOT-04,0.977067105318506,0.9581017570353806,0.9977044719164286,이항분포 모델
2015-LOT-05,0.9779637675555418,0.9582884036364857,0.9979310601401322,이항분포 모델
2015-LOT-06,0.9768132020293385,0.9581100544810554,0.9972599564768974,이항분포 모델
2016-LOT-01,0.9762113791984991,0.9572875447687713,0.9982161079410558,이항분포 모델
2016-LOT-02,0.9771857457333919,0.9568130475657157,0.9976740484612207,이항분포 모델
2016-LOT-03,0.9771408873720548,0.9581158243891352,0.9980602855792462,이항분포 모델
2016-LOT-04,0.9768516474057206,0.9561387895034658,0.9981259605912808,이항분포 모델
2016-LOT-05,0.9767570849349185,0.9545375022393634,0.9970489703108832,이항분포 모델
2016-LOT-06,0.9762318960284581,0.9563182814335552,0.9983561043018877,이항분포 모델
2017-LOT-01,0.9770422219972165,0.9570583914266676,0.9967857704805513,이항분포 모델
2017-LOT-02,0.9772716184109538,0.9576065951344159,0.996114379468813,이항분포 모델
2017-LOT-03,0.9770662517476639,0.9577296266563102,0.9977647826577861,이항분포 모델
2017-LOT-04,0.9773812629943334,0.9574672154144898,0.9971114404367949,이항분포 모델
2017-LOT-05,0.9773096503641306,0.9568396089199286,0.9961816518741123,이항분포 모델
2017-LOT-06,0.9768825225360381,0.9571701865806658,0.9968586939695968,이항분포 모델
2018-LOT-01,0.9778267135695453,0.960148960228841,0.9963538962938048,이항분포 모델
2018-LOT-02,0.9777113001111665,0.9586862998023532,0.9971619633872593,이항분포 모델
2018-LOT-03,0.978027981978756,0.958907735702031,0.9962624437944458,이항분포 모델
2018-LOT-04,0.9776285283208335,0.9598370327087256,0.996885860181594,이항분포 모델
2018-LOT-05,0.9778548067050237,0.9594507228850354,0.9962326166628942,이항분포 모델
2018-LOT-06,0.9780324269116838,0.9587552410344958,0.9964100526758887,이항분포 모델
2019-LOT-01,0.9779237298322545,0.959517440269913,0.9965773619597341,이항분포 모델
2019-LOT-02,0.977838842436049,0.9588437776019423,0.996491047678272,이항분포 모델
2019-LOT-03,0.9778881584362866,0.9596296202463761,0.9959334416424743,이항분포 모델
2019-LOT-04,0.9780539497867409,0.9605655053035673,0.9965797470769396,이항분포 모델
2019-LOT-05,0.9776523050475014,0.9600126661136116,0.9972705920592859,이항분포 모델
2019-LOT-06,0.9780482287087189,0.959130145452833,0.9958282205319352,이항분포 모델
2015-LOT-01,0.9806174999999907,0.965,0.9975,초기하분포 모델
2015-LOT-02,0.9781587499999908,0.9550000000000001,1.0,초기하분포 모델
2015-LOT-03,0.9785524999999975,0.9550000000000001,0.9975,초기하분포 모델
2015-LOT-04,0.9790824999999945,0.96,0.995,초기하분포 모델
2015-LOT-05,0.9784374999999922,0.9625,0.9975,초기하분포 모델
2015-LOT-06,0.9788249999999925,0.9575,0.9975,초기하분포 모델
2016-LOT-01,0.98031374999999,0.9625,1.0,초기하분포 모델
2016-LOT-02,0.9794762499999896,0.96,0.9975,초기하분포 모델
2016-LOT-03,0.9801962499999909,0.9575,0.995,초기하분포 모델
2016-LOT-04,0.9797049999999949,0.9625,1.0,초기하분포 모델
2016-LOT-05,0.9811712499999881,0.9625,0.9975,초기하분포 모델
2016-LOT-06,0.9774837499999905,0.9575,0.9975,초기하분포 모델
2017-LOT-01,0.9811862499999939,0.9625,0.9975,초기하분포 모델
2017-LOT-02,0.9798412499999933,0.9625,0.9975,초기하분포 모델
2017-LOT-03,0.9792299999999945,0.9625,0.9975,초기하분포 모델
2017-LOT-04,0.9812862499999927,0.9675,1.0,초기하분포 모델
2017-LOT-05,0.9809312499999935,0.9625,0.9975,초기하분포 모델
2017-LOT-06,0.9791812499999928,0.9625,1.0,초기하분포 모델
2018-LOT-01,0.9806537499999927,0.965,1.0,초기하분포 모델
2018-LOT-02,0.9815974999999911,0.9675,1.0,초기하분포 모델
2018-LOT-03,0.9798774999999934,0.9625,0.9975,초기하분포 모델
2018-LOT-04,0.9799487499999958,0.9625,1.0,초기하분포 모델
2018-LOT-05,0.9794474999999946,0.9575,0.9975,초기하분포 모델
2018-LOT-06,0.9808424999999947,0.96,0.995,초기하분포 모델
2019-LOT-01,0.9811049999999911,0.9675,0.9975,초기하분포 모델
2019-LOT-02,0.9819099999999922,0.965,0.995,초기하분포 모델
2019-LOT-03,0.9810399999999927,0.9625,0.995,초기하분포 모델
2019-LOT-04,0.9811099999999919,0.965,0.9975,초기하분포 모델
2019-LOT-05,0.980391249999994,0.9625,0.9975,초기하분포 모델
2019-LOT-06,0.9821487499999896,0.9675,0.9975,초기하분포 모델
