lot,mean,hdi_5%,hdi_95%,source
2015-LOT-01,0.9822237499999921,0.97,0.9925,낙관적 (Optimistic)
2015-LOT-02,0.9824912499999917,0.9725,0.995,낙관적 (Optimistic)
2015-LOT-03,0.9827137499999912,0.9725,0.9925,낙관적 (Optimistic)
2015-LOT-04,0.9828537499999925,0.9725,0.995,낙관적 (Optimistic)
2015-LOT-05,0.982808749999997,0.9725,0.9925,낙관적 (Optimistic)
2015-LOT-06,0.9821212499999967,0.9725,0.995,낙관적 (Optimistic)
2016-LOT-01,0.9826212499999926,0.9725,0.9925,낙관적 (Optimistic)
2016-LOT-02,0.9828149999999956,0.9725,0.995,낙관적 (Optimistic)
2016-LOT-03,0.9821662499999955,0.9725,0.995,낙관적 (Optimistic)
2016-LOT-04,0.9830512499999925,0.9725,0.995,낙관적 (Optimistic)
2016-LOT-05,0.9825587499999937,0.9725,0.995,낙관적 (Optimistic)
2016-LOT-06,0.9818787499999926,0.9675,0.9925,낙관적 (Optimistic)
2017-LOT-01,0.9823824999999909,0.9725,0.995,낙관적 (Optimistic)
2017-LOT-02,0.9821274999999948,0.9725,0.995,낙관적 (Optimistic)
2017-LOT-03,0.9823912499999914,0.9675,0.9925,낙관적 (Optimistic)
2017-LOT-04,0.9827912499999921,0.9725,0.995,낙관적 (Optimistic)
2017-LOT-05,0.982306249999995,0.9725,0.995,낙관적 (Optimistic)
2017-LOT-06,0.9829062499999967,0.975,0.995,낙관적 (Optimistic)
2018-LOT-01,0.9822037499999945,0.9725,0.995,낙관적 (Optimistic)
2018-LOT-02,0.9828712499999932,0.9725,0.995,낙관적 (Optimistic)
2018-LOT-03,0.9822612499999952,0.9725,0.995,낙관적 (Optimistic)
2018-LOT-04,0.9822299999999973,0.9725,0.995,낙관적 (Optimistic)
2018-LOT-05,0.9824124999999928,0.9675,0.9925,낙관적 (Optimistic)
2018-LOT-06,0.9826874999999969,0.97,0.9925,낙관적 (Optimistic)
2019-LOT-01,0.9828687499999955,0.9725,0.995,낙관적 (Optimistic)
2019-LOT-02,0.9827599999999928,0.9725,0.9925,낙관적 (Optimistic)
2019-LOT-03,0.9823337499999947,0.9725,0.995,낙관적 (Optimistic)
2019-LOT-04,0.982544999999993,0.9725,0.995,낙관적 (Optimistic)
2019-LOT-05,0.9824524999999967,0.9725,0.995,낙관적 (Optimistic)
2019-LOT-06,0.9824887499999909,0.9725,0.995,낙관적 (Optimistic)
2015-LOT-01,0.9806174999999907,0.965,0.9975,보수적 (Pessimistic)
2015-LOT-02,0.9781587499999908,0.9550000000000001,1.0,보수적 (Pessimistic)
2015-LOT-03,0.9785524999999975,0.9550000000000001,0.9975,보수적 (Pessimistic)
2015-LOT-04,0.9790824999999945,0.96,0.995,보수적 (Pessimistic)
2015-LOT-05,0.9784374999999922,0.9625,0.9975,보수적 (Pessimistic)
2015-LOT-06,0.9788249999999925,0.9575,0.9975,보수적 (Pessimistic)
2016-LOT-01,0.98031374999999,0.9625,1.0,보수적 (Pessimistic)
2016-LOT-02,0.9794762499999896,0.96,0.9975,보수적 (Pessimistic)
2016-LOT-03,0.9801962499999909,0.9575,0.995,보수적 (Pessimistic)
2016-LOT-04,0.9797049999999949,0.9625,1.0,보수적 (Pessimistic)
2016-LOT-05,0.9811712499999881,0.9625,0.9975,보수적 (Pessimistic)
2016-LOT-06,0.9774837499999905,0.9575,0.9975,보수적 (Pessimistic)
2017-LOT-01,0.9811862499999939,0.9625,0.9975,보수적 (Pessimistic)
2017-LOT-02,0.9798412499999933,0.9625,0.9975,보수적 (Pessimistic)
2017-LOT-03,0.9792299999999945,0.9625,0.9975,보수적 (Pessimistic)
2017-LOT-04,0.9812862499999927,0.9675,1.0,보수적 (Pessimistic)
2017-LOT-05,0.9809312499999935,0.9625,0.9975,보수적 (Pessimistic)
2017-LOT-06,0.9791812499999928,0.9625,1.0,보수적 (Pessimistic)
2018-LOT-01,0.9806537499999927,0.965,1.0,보수적 (Pessimistic)
2018-LOT-02,0.9815974999999911,0.9675,1.0,보수적 (Pessimistic)
2018-LOT-03,0.9798774999999934,0.9625,0.9975,보수적 (Pessimistic)
2018-LOT-04,0.9799487499999958,0.9625,1.0,보수적 (Pessimistic)
2018-LOT-05,0.9794474999999946,0.9575,0.9975,보수적 (Pessimistic)
2018-LOT-06,0.9808424999999947,0.96,0.995,보수적 (Pessimistic)
2019-LOT-01,0.9811049999999911,0.9675,0.9975,보수적 (Pessimistic)
2019-LOT-02,0.9819099999999922,0.965,0.995,보수적 (Pessimistic)
2019-LOT-03,0.9810399999999927,0.9625,0.995,보수적 (Pessimistic)
2019-LOT-04,0.9811099999999919,0.965,0.9975,보수적 (Pessimistic)
2019-LOT-05,0.980391249999994,0.9625,0.9975,보수적 (Pessimistic)
2019-LOT-06,0.9821487499999896,0.9675,0.9975,보수적 (Pessimistic)
