scenario,parameter,value
낙관적 (Optimistic),sigma_lot_base,0.015665385540808395
낙관적 (Optimistic),sigma_lot_base,0.012784785173613518
낙관적 (Optimistic),sigma_lot_base,0.012296173753798949
낙관적 (Optimistic),sigma_lot_base,0.011106222265107256
낙관적 (Optimistic),sigma_lot_base,0.01103376239660957
낙관적 (Optimistic),sigma_lot_base,0.010934355477537605
낙관적 (Optimistic),sigma_lot_base,0.010453631670165036
낙관적 (Optimistic),sigma_lot_base,0.00981699802318695
낙관적 (Optimistic),sigma_lot_base,0.009744273634260664
낙관적 (Optimistic),sigma_lot_base,0.007975757917510066
낙관적 (Optimistic),sigma_lot_base,0.007975757917510066
낙관적 (Optimistic),sigma_lot_base,0.007975757917510066
낙관적 (Optimistic),sigma_lot_base,0.007975757917510066
낙관적 (Optimistic),sigma_lot_base,0.007975757917510066
낙관적 (Optimistic),sigma_lot_base,0.007975757917510066
낙관적 (Optimistic),sigma_lot_base,0.007975757917510066
낙관적 (Optimistic),sigma_lot_base,0.007975757917510066
낙관적 (Optimistic),sigma_lot_base,0.008147141853099135
낙관적 (Optimistic),sigma_lot_base,0.008212720872740725
낙관적 (Optimistic),sigma_lot_base,0.008212720872740725
낙관적 (Optimistic),sigma_lot_base,0.008212720872740725
낙관적 (Optimistic),sigma_lot_base,0.008212720872740725
낙관적 (Optimistic),sigma_lot_base,0.008182091722115743
낙관적 (Optimistic),sigma_lot_base,0.008374095598532355
낙관적 (Optimistic),sigma_lot_base,0.009411676171297838
낙관적 (Optimistic),sigma_lot_base,0.00947206692613699
낙관적 (Optimistic),sigma_lot_base,0.00947206692613699
낙관적 (Optimistic),sigma_lot_base,0.009566230522280152
낙관적 (Optimistic),sigma_lot_base,0.009651722364003277
낙관적 (Optimistic),sigma_lot_base,0.0091931800268577
낙관적 (Optimistic),sigma_lot_base,0.009445236545595311
낙관적 (Optimistic),sigma_lot_base,0.013043745915953432
낙관적 (Optimistic),sigma_lot_base,0.013326818816276807
낙관적 (Optimistic),sigma_lot_base,0.01644575211136191
낙관적 (Optimistic),sigma_lot_base,0.01815321591724206
낙관적 (Optimistic),sigma_lot_base,0.016740759055881155
낙관적 (Optimistic),sigma_lot_base,0.019272010770917895
낙관적 (Optimistic),sigma_lot_base,0.016997208749730576
낙관적 (Optimistic),sigma_lot_base,0.018408248600616524
낙관적 (Optimistic),sigma_lot_base,0.02080560963020048
낙관적 (Optimistic),sigma_lot_base,0.02195716742539017
낙관적 (Optimistic),sigma_lot_base,0.021417701634513876
낙관적 (Optimistic),sigma_lot_base,0.021189320980363354
