lot,mean,hdi_5%,hdi_95%,source
2015-LOT-01,0.8957974999999989,0.8300000000000001,0.9500000000000001,보수적 (Pessimistic)
2015-LOT-02,0.8817737500000025,0.8150000000000001,0.9575,보수적 (Pessimistic)
2015-LOT-03,0.889340000000001,0.8150000000000001,0.97,보수적 (Pessimistic)
2015-LOT-04,0.8924587499999969,0.8250000000000001,0.9550000000000001,보수적 (Pessimistic)
2015-LOT-05,0.8946875000000016,0.8275,0.97,보수적 (Pessimistic)
2015-LOT-06,0.9038912499999983,0.8375,0.9625,보수적 (Pessimistic)
2016-LOT-01,0.9017800000000001,0.8425,0.965,보수적 (Pessimistic)
2016-LOT-02,0.8933324999999962,0.8375,0.9575,보수적 (Pessimistic)
2016-LOT-03,0.8932775000000024,0.8150000000000001,0.96,보수적 (Pessimistic)
2016-LOT-04,0.8845787500000065,0.8,0.965,보수적 (Pessimistic)
2016-LOT-05,0.8939862500000033,0.8275,0.9725,보수적 (Pessimistic)
2016-LOT-06,0.895151250000003,0.8325,0.9625,보수적 (Pessimistic)
2017-LOT-01,0.881444999999999,0.8075,0.9575,보수적 (Pessimistic)
2017-LOT-02,0.8782549999999971,0.8025,0.9550000000000001,보수적 (Pessimistic)
2017-LOT-03,0.8805612500000004,0.79,0.9475,보수적 (Pessimistic)
2017-LOT-04,0.8820287500000018,0.8175,0.9475,보수적 (Pessimistic)
2017-LOT-05,0.8837537499999976,0.7975,0.9500000000000001,보수적 (Pessimistic)
2017-LOT-06,0.868195000000001,0.775,0.9525,보수적 (Pessimistic)
2018-LOT-01,0.8895762499999971,0.8225,0.9575,보수적 (Pessimistic)
2018-LOT-02,0.8958849999999988,0.8325,0.9525,보수적 (Pessimistic)
2018-LOT-03,0.9002387499999995,0.8375,0.9525,보수적 (Pessimistic)
2018-LOT-04,0.8920475000000014,0.8325,0.9675,보수적 (Pessimistic)
2018-LOT-05,0.8965937500000009,0.8300000000000001,0.9500000000000001,보수적 (Pessimistic)
2018-LOT-06,0.8921849999999947,0.8150000000000001,0.9525,보수적 (Pessimistic)
2019-LOT-01,0.8875499999999985,0.8225,0.9450000000000001,보수적 (Pessimistic)
2019-LOT-02,0.8854487499999967,0.805,0.9475,보수적 (Pessimistic)
2019-LOT-03,0.8871862500000026,0.8200000000000001,0.9625,보수적 (Pessimistic)
2019-LOT-04,0.8912862500000026,0.8225,0.9475,보수적 (Pessimistic)
2019-LOT-05,0.8926699999999962,0.8425,0.9475,보수적 (Pessimistic)
2019-LOT-06,0.8876337500000017,0.8275,0.9500000000000001,보수적 (Pessimistic)
