scenario,parameter,value
보수적 (Pessimistic),mu_global_logit,1.6568887464614996
보수적 (Pessimistic),mu_global_logit,1.5033016942169195
보수적 (Pessimistic),mu_global_logit,1.5734711450002952
보수적 (Pessimistic),mu_global_logit,1.71615720271114
보수적 (Pessimistic),mu_global_logit,1.7065058401195006
보수적 (Pessimistic),mu_global_logit,1.6630492665053354
보수적 (Pessimistic),mu_global_logit,1.8192570079572579
보수적 (Pessimistic),mu_global_logit,1.5192804454789435
보수적 (Pessimistic),mu_global_logit,1.5156845683133395
보수적 (Pessimistic),mu_global_logit,1.7043363861020369
보수적 (Pessimistic),mu_global_logit,1.7278571395172546
보수적 (Pessimistic),mu_global_logit,1.7904728883047238
보수적 (Pessimistic),mu_global_logit,1.7973727686174792
보수적 (Pessimistic),mu_global_logit,1.7602070390630558
보수적 (Pessimistic),mu_global_logit,1.6788514348970274
보수적 (Pessimistic),mu_global_logit,1.8478791744276784
보수적 (Pessimistic),mu_global_logit,1.5858284024313725
보수적 (Pessimistic),mu_global_logit,1.6247488171206412
보수적 (Pessimistic),mu_global_logit,1.7078949372761087
보수적 (Pessimistic),mu_global_logit,1.8508708959859757
보수적 (Pessimistic),mu_global_logit,1.8721439277090373
보수적 (Pessimistic),mu_global_logit,1.7598286790719124
보수적 (Pessimistic),mu_global_logit,1.7289293109229193
보수적 (Pessimistic),mu_global_logit,1.680762166306281
보수적 (Pessimistic),mu_global_logit,1.62906516174246
보수적 (Pessimistic),mu_global_logit,1.7344615336043483
보수적 (Pessimistic),mu_global_logit,1.6118962652302775
보수적 (Pessimistic),mu_global_logit,1.5963709225583116
보수적 (Pessimistic),mu_global_logit,1.7165362489442333
보수적 (Pessimistic),mu_global_logit,1.6736890576506702
보수적 (Pessimistic),mu_global_logit,1.6845538072052457
보수적 (Pessimistic),mu_global_logit,1.857332735208711
보수적 (Pessimistic),mu_global_logit,1.7825778910092094
보수적 (Pessimistic),mu_global_logit,1.7239474786264422
보수적 (Pessimistic),mu_global_logit,1.6838749955191668
보수적 (Pessimistic),mu_global_logit,1.7182866900650275
보수적 (Pessimistic),mu_global_logit,1.6223767712463375
보수적 (Pessimistic),mu_global_logit,1.735977827396783
보수적 (Pessimistic),mu_global_logit,1.735209477518572
보수적 (Pessimistic),mu_global_logit,1.7639182827359932
보수적 (Pessimistic),mu_global_logit,1.733685291683722
보수적 (Pessimistic),mu_global_logit,1.8523717242550217
보수적 (Pessimistic),mu_global_logit,1.8010948726482352
보수적 (Pessimistic),mu_global_logit,1.6383931787694228
보수적 (Pessimistic),mu_global_logit,1.4485201654440358
보수적 (Pessimistic),mu_global_logit,1.8539542637492115
보수적 (Pessimistic),mu_global_logit,1.7552337709192931
보수적 (Pessimistic),mu_global_logit,1.6440569295609333
보수적 (Pessimistic),mu_global_logit,1.6107532328581011
보수적 (Pessimistic),mu_global_logit,1.7281352667755556
보수적 (Pessimistic),mu_global_logit,1.644213334362029
보수적 (Pessimistic),mu_global_logit,1.7593750089536666
보수적 (Pessimistic),mu_global_logit,1.610923863077941
보수적 (Pessimistic),mu_global_logit,1.7229612323712136
보수적 (Pessimistic),mu_global_logit,1.6484118052978725
보수적 (Pessimistic),mu_global_logit,1.6484118052978725
보수적 (Pessimistic),mu_global_logit,1.6707850672166096
보수적 (Pessimistic),mu_global_logit,1.6516595832499728
보수적 (Pessimistic),mu_global_logit,1.659665239474488
보수적 (Pessimistic),mu_global_logit,1.7490500100536908
보수적 (Pessimistic),mu_global_logit,1.6385809383336514
보수적 (Pessimistic),mu_global_logit,1.609646721286709
보수적 (Pessimistic),mu_global_logit,1.642414684646128
보수적 (Pessimistic),mu_global_logit,1.648043731979755
보수적 (Pessimistic),mu_global_logit,1.5764535947241978
보수적 (Pessimistic),mu_global_logit,1.5590063816486286
보수적 (Pessimistic),mu_global_logit,1.5294617796232353
보수적 (Pessimistic),mu_global_logit,1.5846193907350936
보수적 (Pessimistic),mu_global_logit,1.6041250954034092
보수적 (Pessimistic),mu_global_logit,1.5083570635087327
보수적 (Pessimistic),mu_global_logit,1.4692886084093018
보수적 (Pessimistic),mu_global_logit,1.5338591863925946
보수적 (Pessimistic),mu_global_logit,1.4049116803011106
보수적 (Pessimistic),mu_global_logit,1.489269441285686
보수적 (Pessimistic),mu_global_logit,1.5885001194371744
보수적 (Pessimistic),mu_global_logit,1.5510597516348987
보수적 (Pessimistic),mu_global_logit,1.555311612197367
보수적 (Pessimistic),mu_global_logit,1.5715904008895085
보수적 (Pessimistic),mu_global_logit,1.577941410375575
보수적 (Pessimistic),mu_global_logit,1.5970754200541666
보수적 (Pessimistic),mu_global_logit,1.5389454066875006
보수적 (Pessimistic),mu_global_logit,1.5206087257153487
보수적 (Pessimistic),mu_global_logit,1.5032418155818292
보수적 (Pessimistic),mu_global_logit,1.4084299864057108
보수적 (Pessimistic),mu_global_logit,1.517335233933208
보수적 (Pessimistic),mu_global_logit,1.4510548678046944
보수적 (Pessimistic),mu_global_logit,1.4780222223135813
보수적 (Pessimistic),mu_global_logit,1.5557355303404172
보수적 (Pessimistic),mu_global_logit,1.4330224890521237
