1500
SG14C38800,SG14C38800
장입유도탄
1
기본성능
정소미,1탄약창,권춘혁,1탄약창,오택균,1탄약창,2025-11-17 09:26:46,1탄약창,25년 고장진단
유도제어장치
기본성능,유도제어장치,자전기동시간,,,,5.00,초,MIN,1,3.065,합격,9,5.00 이하
기본성능,유도제어장치,자전안정화주파수,,95.00,150.00,,Hz,,1,100.521,합격,10,
통신기능점검
기본성능,통신기능점검,데이터,,,,정상수신,-,,3,정상수신,합격,11,
유도탄자체점검기능
기본성능,유도탄자체점검기능,전원상태,TS15P,,,0,-,,4,0,합격,12,
기본성능,유도탄자체점검기능,전원상태,TS15N,,,0,-,,4,0,합격,13,
기본성능,유도탄자체점검기능,전원상태,TS5P,,,0,-,,4,0,합격,14,
기본성능,유도탄자체점검기능,이산신호 상태1,MSLAWY1,,,0,-,,4,0,합격,15,
기본성능,유도탄자체점검기능,이산신호 상태1,CMDHT1,,,0,-,,4,0,합격,16,
기본성능,유도탄자체점검기능,이산신호 상태2,MSLAWY,,,0,-,,4,0,합격,17,
기본성능,유도탄자체점검기능,이산신호 상태2,CMDHT2,,,1,-,,4,1,합격,18,
기본성능,유도탄자체점검기능,메모리 상태,RAM/ROM,,,0,-,,4,0,합격,19,
기본성능,유도탄자체점검기능,신관 상태,BIT/FO,,,0,-,,4,0,합격,20,
기본성능,유도탄자체점검기능,NOTAG,NO TAG 모드,,,0,-,,4,0,합격,21,
기본성능,유도탄자체점검기능,TAG,TAG 모드,,,1,-,,4,1,합격,22,
기본성능,유도탄자체점검기능,MSL ID,MSL ID,,,0,-,,4,0,합격,23,
아날로그신호특성
기본성능,아날로그신호특성,아날로그 신호 점검,ASLAP, 1.30,2.30,,VDC,,2,1.821,합격,24
기본성능, 아날로그신호특성,아날로그 신호 점검,ASLAY,2.00,3.00,,VDC,,2,2.407,합격,25,
기본성능, 아날로그신호특성, 아날로그 신호 점검,ALOSRP,2.00,3.00,,VDC,,2,2.559,합격,26,
기본성능,아날로그신호특성,아날로그 신호 첨검,ALOSRY,2.00,3.00,,VDC,,2,2.358,합격,27,
기본성능, 아날로그신호특성,아날로그 신호 점검,AVIFSC,-0.25,0.25,,VDC,,2,0.000,합격,28,
기본성능,아날로그신호특성,아날로그 신호 점검,AFROLL,-0.25,0.25,,VDC,,2,0.000,합격,29,
기본성능,아날로그신호특성,아날로그 신호 점검,AMRSIN,2.25,2.75,,VDC,,2,2.490,합격,30,
기본성능, 아날로그신호특성, 전원점검,+5V.4.75,5.25,,VDC,,2,4.993,합격,31,
기본성능,아날로그신호특성,전원점검,+15V, 14.50,15.50,,VDC,,2,14.996,합격,32,
기본성능,아날로그신호특성,전원점검,-15V,-15.50,-14.50,,VDC,,2,-14.886,합격,33,
강제세차점검
기본성능,강제세차점검,SLAP,8.00,12.00,,도,,1,9.716,합격,34,
기본성능,강제세차점검,SLAY,-2,00,2.00,,도,,1,-0.019,합격,35,
