lot,mean,hdi_5%,hdi_95%,source
2015-LOT-01,0.9794037499999954,0.965,0.9925,낙관적 (Optimistic)
2015-LOT-02,0.9770612499999978,0.9625,0.99,낙관적 (Optimistic)
2015-LOT-03,0.979823749999998,0.9675,0.9925,낙관적 (Optimistic)
2015-LOT-04,0.9795324999999918,0.9625,0.99,낙관적 (Optimistic)
2015-LOT-05,0.9798012499999972,0.9675,0.9925,낙관적 (Optimistic)
2015-LOT-06,0.9793637499999915,0.965,0.9925,낙관적 (Optimistic)
2016-LOT-01,0.9797562499999938,0.9675,0.9925,낙관적 (Optimistic)
2016-LOT-02,0.9790899999999965,0.9675,0.9925,낙관적 (Optimistic)
2016-LOT-03,0.9792449999999951,0.9625,0.99,낙관적 (Optimistic)
2016-LOT-04,0.9797187499999968,0.9675,0.995,낙관적 (Optimistic)
2016-LOT-05,0.9794274999999973,0.9675,0.995,낙관적 (Optimistic)
2016-LOT-06,0.9793162499999976,0.9675,0.995,낙관적 (Optimistic)
2017-LOT-01,0.9797512499999964,0.9675,0.995,낙관적 (Optimistic)
2017-LOT-02,0.9793762499999937,0.9675,0.995,낙관적 (Optimistic)
2017-LOT-03,0.9793024999999952,0.9675,0.995,낙관적 (Optimistic)
2017-LOT-04,0.9798087499999943,0.9675,0.995,낙관적 (Optimistic)
2017-LOT-05,0.9797899999999975,0.9675,0.995,낙관적 (Optimistic)
2017-LOT-06,0.9795824999999978,0.9675,0.9925,낙관적 (Optimistic)
2018-LOT-01,0.9799112499999946,0.9675,0.9925,낙관적 (Optimistic)
2018-LOT-02,0.9794224999999956,0.9675,0.995,낙관적 (Optimistic)
2018-LOT-03,0.9795574999999961,0.9675,0.995,낙관적 (Optimistic)
2018-LOT-04,0.9799437499999961,0.9675,0.995,낙관적 (Optimistic)
2018-LOT-05,0.9796624999999941,0.965,0.9925,낙관적 (Optimistic)
2018-LOT-06,0.979682499999995,0.965,0.99,낙관적 (Optimistic)
2019-LOT-01,0.9796774999999975,0.9675,0.9925,낙관적 (Optimistic)
2019-LOT-02,0.9797387499999973,0.9675,0.995,낙관적 (Optimistic)
2019-LOT-03,0.9794974999999958,0.9675,0.995,낙관적 (Optimistic)
2019-LOT-04,0.9794137499999961,0.9675,0.995,낙관적 (Optimistic)
2019-LOT-05,0.9795099999999938,0.9625,0.99,낙관적 (Optimistic)
2019-LOT-06,0.9796262499999928,0.9675,0.9925,낙관적 (Optimistic)
2015-LOT-01,0.9706487499999998,0.9400000000000001,1.0,보수적 (Pessimistic)
2015-LOT-02,0.9561174999999991,0.92,0.995,보수적 (Pessimistic)
2015-LOT-03,0.9666387499999957,0.935,0.9975,보수적 (Pessimistic)
2015-LOT-04,0.945667499999996,0.8775000000000001,0.995,보수적 (Pessimistic)
2015-LOT-05,0.9541112499999974,0.9,0.995,보수적 (Pessimistic)
2015-LOT-06,0.9650112499999954,0.93,0.9975,보수적 (Pessimistic)
2016-LOT-01,0.9629024999999941,0.915,1.0,보수적 (Pessimistic)
2016-LOT-02,0.9711762499999935,0.9450000000000001,1.0,보수적 (Pessimistic)
2016-LOT-03,0.9578762499999972,0.91,1.0,보수적 (Pessimistic)
2016-LOT-04,0.9703562499999963,0.9450000000000001,0.9975,보수적 (Pessimistic)
2016-LOT-05,0.9604174999999947,0.8875000000000001,0.9975,보수적 (Pessimistic)
2016-LOT-06,0.9712312499999955,0.9450000000000001,1.0,보수적 (Pessimistic)
2017-LOT-01,0.9664174999999947,0.9400000000000001,0.995,보수적 (Pessimistic)
2017-LOT-02,0.9660824999999927,0.935,0.9975,보수적 (Pessimistic)
2017-LOT-03,0.9713537499999966,0.9475,0.995,보수적 (Pessimistic)
2017-LOT-04,0.9607424999999938,0.915,1.0,보수적 (Pessimistic)
2017-LOT-05,0.9658512499999958,0.9325,0.9975,보수적 (Pessimistic)
2017-LOT-06,0.9640549999999986,0.93,0.9975,보수적 (Pessimistic)
2018-LOT-01,0.9668687499999933,0.935,1.0,보수적 (Pessimistic)
2018-LOT-02,0.9694687499999936,0.9375,0.9975,보수적 (Pessimistic)
2018-LOT-03,0.9632812499999929,0.9175,0.9975,보수적 (Pessimistic)
2018-LOT-04,0.9624049999999937,0.925,1.0,보수적 (Pessimistic)
2018-LOT-05,0.9679574999999967,0.9425,1.0,보수적 (Pessimistic)
2018-LOT-06,0.9666512499999966,0.935,1.0,보수적 (Pessimistic)
2019-LOT-01,0.9696687499999972,0.9450000000000001,0.995,보수적 (Pessimistic)
2019-LOT-02,0.9666124999999963,0.935,0.995,보수적 (Pessimistic)
2019-LOT-03,0.9701624999999964,0.9450000000000001,0.995,보수적 (Pessimistic)
2019-LOT-04,0.971267499999993,0.9450000000000001,0.995,보수적 (Pessimistic)
2019-LOT-05,0.9679124999999998,0.9375,0.9925,보수적 (Pessimistic)
2019-LOT-06,0.9699437499999942,0.9400000000000001,0.995,보수적 (Pessimistic)
