scenario,parameter,value
낙관적 (Optimistic),mu_global_logit,4.320544280691275
낙관적 (Optimistic),mu_global_logit,4.314297453230162
낙관적 (Optimistic),mu_global_logit,4.311711377957974
낙관적 (Optimistic),mu_global_logit,4.310466082473817
낙관적 (Optimistic),mu_global_logit,4.322959624463413
낙관적 (Optimistic),mu_global_logit,4.321506948505844
낙관적 (Optimistic),mu_global_logit,4.32499230152547
낙관적 (Optimistic),mu_global_logit,4.316845045918334
낙관적 (Optimistic),mu_global_logit,4.321049983186297
낙관적 (Optimistic),mu_global_logit,4.332406062859243
낙관적 (Optimistic),mu_global_logit,4.332406062859243
낙관적 (Optimistic),mu_global_logit,4.332406062859243
낙관적 (Optimistic),mu_global_logit,4.332406062859243
낙관적 (Optimistic),mu_global_logit,4.332406062859243
낙관적 (Optimistic),mu_global_logit,4.332406062859243
낙관적 (Optimistic),mu_global_logit,4.332406062859243
낙관적 (Optimistic),mu_global_logit,4.332406062859243
낙관적 (Optimistic),mu_global_logit,4.332773603816495
낙관적 (Optimistic),mu_global_logit,4.330622339582555
낙관적 (Optimistic),mu_global_logit,4.330622339582555
낙관적 (Optimistic),mu_global_logit,4.330622339582555
낙관적 (Optimistic),mu_global_logit,4.330622339582555
낙관적 (Optimistic),mu_global_logit,4.338606213060514
낙관적 (Optimistic),mu_global_logit,4.336033184627868
낙관적 (Optimistic),mu_global_logit,4.335226349176736
낙관적 (Optimistic),mu_global_logit,4.3401557694686925
낙관적 (Optimistic),mu_global_logit,4.3401557694686925
낙관적 (Optimistic),mu_global_logit,4.339358127053726
낙관적 (Optimistic),mu_global_logit,4.34824141221652
낙관적 (Optimistic),mu_global_logit,4.333995397468942
낙관적 (Optimistic),mu_global_logit,4.346211036164155
낙관적 (Optimistic),mu_global_logit,4.346786891921173
낙관적 (Optimistic),mu_global_logit,4.350696909991712
낙관적 (Optimistic),mu_global_logit,4.342595863721608
낙관적 (Optimistic),mu_global_logit,4.344977009858689
낙관적 (Optimistic),mu_global_logit,4.350418275568793
낙관적 (Optimistic),mu_global_logit,4.3362180059816335
낙관적 (Optimistic),mu_global_logit,4.340365975647134
낙관적 (Optimistic),mu_global_logit,4.329065347119373
낙관적 (Optimistic),mu_global_logit,4.343319569450274
낙관적 (Optimistic),mu_global_logit,4.340247454006011
낙관적 (Optimistic),mu_global_logit,4.346579235239466
낙관적 (Optimistic),mu_global_logit,4.327567128273262
낙관적 (Optimistic),mu_global_logit,4.330158822304482
낙관적 (Optimistic),mu_global_logit,4.334105782182613
낙관적 (Optimistic),mu_global_logit,4.325817134983235
낙관적 (Optimistic),mu_global_logit,4.341077461362865
낙관적 (Optimistic),mu_global_logit,4.320609191671638
낙관적 (Optimistic),mu_global_logit,4.327155114120382
낙관적 (Optimistic),mu_global_logit,4.333168274956401
낙관적 (Optimistic),mu_global_logit,4.326581096494757
낙관적 (Optimistic),mu_global_logit,4.313668272895895
낙관적 (Optimistic),mu_global_logit,4.313668272895895
낙관적 (Optimistic),mu_global_logit,4.313668272895895
낙관적 (Optimistic),mu_global_logit,4.303637107174717
낙관적 (Optimistic),mu_global_logit,4.307973962372511
낙관적 (Optimistic),mu_global_logit,4.307973962372511
낙관적 (Optimistic),mu_global_logit,4.303779890246793
낙관적 (Optimistic),mu_global_logit,4.305292256993163
낙관적 (Optimistic),mu_global_logit,4.308751121754705
낙관적 (Optimistic),mu_global_logit,4.308115135854763
낙관적 (Optimistic),mu_global_logit,4.308115135854763
낙관적 (Optimistic),mu_global_logit,4.299778834042037
낙관적 (Optimistic),mu_global_logit,4.299778834042037
낙관적 (Optimistic),mu_global_logit,4.304771954630003
낙관적 (Optimistic),mu_global_logit,4.309908367357842
낙관적 (Optimistic),mu_global_logit,4.308126632052329
낙관적 (Optimistic),mu_global_logit,4.296425393232606
낙관적 (Optimistic),mu_global_logit,4.298156708826858
낙관적 (Optimistic),mu_global_logit,4.31015237961987
낙관적 (Optimistic),mu_global_logit,4.296517627938656
낙관적 (Optimistic),mu_global_logit,4.3154005780129765
낙관적 (Optimistic),mu_global_logit,4.296677345056358
낙관적 (Optimistic),mu_global_logit,4.290867397151941
낙관적 (Optimistic),mu_global_logit,4.292796492804811
낙관적 (Optimistic),mu_global_logit,4.287956431187331
낙관적 (Optimistic),mu_global_logit,4.294579079063875
낙관적 (Optimistic),mu_global_logit,4.293701774706845
낙관적 (Optimistic),mu_global_logit,4.29795293936257
낙관적 (Optimistic),mu_global_logit,4.290061504208538
낙관적 (Optimistic),mu_global_logit,4.309025020468892
낙관적 (Optimistic),mu_global_logit,4.275799573263791
낙관적 (Optimistic),mu_global_logit,4.279963000759385
낙관적 (Optimistic),mu_global_logit,4.272184342748153
낙관적 (Optimistic),mu_global_logit,4.285069007293594
낙관적 (Optimistic),mu_global_logit,4.282256010558526
낙관적 (Optimistic),mu_global_logit,4.276278249152768
낙관적 (Optimistic),mu_global_logit,4.28077494314155
낙관적 (Optimistic),mu_global_logit,4.28077494314155
낙관적 (Optimistic),mu_global_logit,4.28077494314155
낙관적 (Optimistic),mu_global_logit,4.2738234833040485
낙관적 (Optimistic),mu_global_logit,4.291204137385861
낙관적 (Optimistic),mu_global_logit,4.292497491092102
낙관적 (Optimistic),mu_global_logit,4.285913245745524
낙관적 (Optimistic),mu_global_logit,4.289723322455143
낙관적 (Optimistic),mu_global_logit,4.288795295194728
낙관적 (Optimistic),mu_global_logit,4.286020514424818
낙관적 (Optimistic),mu_global_logit,4.283822187564029
낙관적 (Optimistic),mu_global_logit,4.2934980265324985
낙관적 (Optimistic),mu_global_logit,4.289141724504144
낙관적 (Optimistic),mu_global_logit,4.294266716552694
낙관적 (Optimistic),mu_global_logit,4.297325886365605
낙관적 (Optimistic),mu_global_logit,4.321403876974643
낙관적 (Optimistic),mu_global_logit,4.338002693908568
낙관적 (Optimistic),mu_global_logit,4.33156149316969
낙관적 (Optimistic),mu_global_logit,4.328238109244016
낙관적 (Optimistic),mu_global_logit,4.32894932220998
낙관적 (Optimistic),mu_global_logit,4.323833080251053
낙관적 (Optimistic),mu_global_logit,4.315654342117145
낙관적 (Optimistic),mu_global_logit,4.313740716106583
낙관적 (Optimistic),mu_global_logit,4.309497199412966
낙관적 (Optimistic),mu_global_logit,4.292743166154544
낙관적 (Optimistic),mu_global_logit,4.317246049605538
낙관적 (Optimistic),mu_global_logit,4.315767486995261
낙관적 (Optimistic),mu_global_logit,4.306063183541778
낙관적 (Optimistic),mu_global_logit,4.310863070736031
낙관적 (Optimistic),mu_global_logit,4.309829658989569
낙관적 (Optimistic),mu_global_logit,4.324086385284618
낙관적 (Optimistic),mu_global_logit,4.313839765528437
낙관적 (Optimistic),mu_global_logit,4.310267070443933
낙관적 (Optimistic),mu_global_logit,4.32411389717499
낙관적 (Optimistic),mu_global_logit,4.333953024165996
