scenario,parameter,value
보수적 (Pessimistic),sigma_year,0.32058242299856626
보수적 (Pessimistic),sigma_year,0.3171781828873536
보수적 (Pessimistic),sigma_year,0.1802549529738836
보수적 (Pessimistic),sigma_year,0.18471570104591337
보수적 (Pessimistic),sigma_year,0.15339843751211937
보수적 (Pessimistic),sigma_year,0.10742268365484602
보수적 (Pessimistic),sigma_year,0.08226339683676628
보수적 (Pessimistic),sigma_year,0.08333755136714273
보수적 (Pessimistic),sigma_year,0.12051727137664432
보수적 (Pessimistic),sigma_year,0.18484805753292669
보수적 (Pessimistic),sigma_year,0.14882502105550025
보수적 (Pessimistic),sigma_year,0.13582331642866177
보수적 (Pessimistic),sigma_year,0.16860581319978202
보수적 (Pessimistic),sigma_year,0.18955943745362727
보수적 (Pessimistic),sigma_year,0.08520979605948537
보수적 (Pessimistic),sigma_year,0.08040900149480552
보수적 (Pessimistic),sigma_year,0.06902586227908322
보수적 (Pessimistic),sigma_year,0.05858504251844071
보수적 (Pessimistic),sigma_year,0.058545040566033955
보수적 (Pessimistic),sigma_year,0.058545040566033955
보수적 (Pessimistic),sigma_year,0.058545040566033955
보수적 (Pessimistic),sigma_year,0.07986176189059596
보수적 (Pessimistic),sigma_year,0.18241795362514152
보수적 (Pessimistic),sigma_year,0.23087506485237214
보수적 (Pessimistic),sigma_year,0.334060265246721
보수적 (Pessimistic),sigma_year,0.25801756072984416
보수적 (Pessimistic),sigma_year,0.16444490796355507
보수적 (Pessimistic),sigma_year,0.3821543274929879
보수적 (Pessimistic),sigma_year,0.3539063278633854
보수적 (Pessimistic),sigma_year,0.16402004017436683
보수적 (Pessimistic),sigma_year,0.2655817163417812
보수적 (Pessimistic),sigma_year,0.41017185749315965
보수적 (Pessimistic),sigma_year,0.19907514573369872
보수적 (Pessimistic),sigma_year,0.4515632092536131
보수적 (Pessimistic),sigma_year,0.3667217637774465
보수적 (Pessimistic),sigma_year,0.2625527969086398
보수적 (Pessimistic),sigma_year,0.27594440369924034
보수적 (Pessimistic),sigma_year,0.24157495561565587
보수적 (Pessimistic),sigma_year,0.2713290577212102
보수적 (Pessimistic),sigma_year,0.19201948959832887
보수적 (Pessimistic),sigma_year,0.2491117224124196
보수적 (Pessimistic),sigma_year,0.3398474087816965
보수적 (Pessimistic),sigma_year,0.2880771610236348
보수적 (Pessimistic),sigma_year,0.20625209757139387
보수적 (Pessimistic),sigma_year,0.3512087365950131
보수적 (Pessimistic),sigma_year,0.18091844906700927
보수적 (Pessimistic),sigma_year,0.186960241177724
보수적 (Pessimistic),sigma_year,0.1407972448924387
보수적 (Pessimistic),sigma_year,0.15409939518175086
보수적 (Pessimistic),sigma_year,0.10877249899918248
보수적 (Pessimistic),sigma_year,0.14335447287643263
보수적 (Pessimistic),sigma_year,0.14956388036758395
보수적 (Pessimistic),sigma_year,0.4135004598970672
보수적 (Pessimistic),sigma_year,0.21382490179084054
보수적 (Pessimistic),sigma_year,0.17678923319769735
보수적 (Pessimistic),sigma_year,0.4835369492571931
보수적 (Pessimistic),sigma_year,0.395523415128645
보수적 (Pessimistic),sigma_year,0.4412536969354638
보수적 (Pessimistic),sigma_year,0.26368221405983466
보수적 (Pessimistic),sigma_year,0.2499990042866166
보수적 (Pessimistic),sigma_year,0.5378441959538273
보수적 (Pessimistic),sigma_year,0.18967556837892013
보수적 (Pessimistic),sigma_year,0.24684155261575685
보수적 (Pessimistic),sigma_year,0.26891826412909675
보수적 (Pessimistic),sigma_year,0.4715678026164918
보수적 (Pessimistic),sigma_year,0.22869159158399135
보수적 (Pessimistic),sigma_year,0.36943710168452215
보수적 (Pessimistic),sigma_year,0.4396229943077885
보수적 (Pessimistic),sigma_year,0.39396778002732313
보수적 (Pessimistic),sigma_year,0.35452696907417774
보수적 (Pessimistic),sigma_year,0.5079751395223923
보수적 (Pessimistic),sigma_year,0.24235999303686712
보수적 (Pessimistic),sigma_year,0.5260271666262
보수적 (Pessimistic),sigma_year,0.18264709775108162
보수적 (Pessimistic),sigma_year,0.2505484798583624
보수적 (Pessimistic),sigma_year,0.24907410713550665
보수적 (Pessimistic),sigma_year,0.2467658327520689
보수적 (Pessimistic),sigma_year,0.2969514962074999
보수적 (Pessimistic),sigma_year,0.2700836780767538
보수적 (Pessimistic),sigma_year,0.33641721382042117
보수적 (Pessimistic),sigma_year,0.34893915641556145
보수적 (Pessimistic),sigma_year,0.27420952725839887
보수적 (Pessimistic),sigma_year,0.3328512046327592
보수적 (Pessimistic),sigma_year,0.4595841208876187
보수적 (Pessimistic),sigma_year,0.3824582617483899
보수적 (Pessimistic),sigma_year,0.6035005684747157
보수적 (Pessimistic),sigma_year,0.4565609952858572
보수적 (Pessimistic),sigma_year,0.3644778803854774
보수적 (Pessimistic),sigma_year,0.25326516215056893
보수적 (Pessimistic),sigma_year,0.4705513588109695
보수적 (Pessimistic),sigma_year,0.36162927239038517
보수적 (Pessimistic),sigma_year,0.29180770822614505
보수적 (Pessimistic),sigma_year,0.23477877397365468
보수적 (Pessimistic),sigma_year,0.4872822060744523
보수적 (Pessimistic),sigma_year,0.25622090203737263
보수적 (Pessimistic),sigma_year,0.2701358754619667
